imname	RA	DEC	EXPTIME
N20140422F97V1	14:34:06	-16:04:57	40
N20140422F98V1	14:34:04	-18:01:21	40
N20140422F99V1	14:40:48	-18:60:33	40
N20140422F100V1	14:40:46	-17:02:09	40
N20140422F97V2	14:34:06	-16:04:57	40
N20140422F98V2	14:34:04	-18:01:21	40
N20140422F99V2	14:40:48	-18:60:33	40
N20140422F100V2	14:40:46	-17:02:09	40
N20140422F97V3	14:34:06	-16:04:57	40
N20140422F98V3	14:34:04	-18:01:21	40
N20140422F99V3	14:40:48	-18:60:33	40
N20140422F100V3	14:40:46	-17:02:09	40
N20140422F97V4	14:34:06	-16:04:57	40
N20140422F98V4	14:34:04	-18:01:21	40
N20140422F99V4	14:40:48	-18:60:33	40
N20140422F100V4	14:40:46	-17:02:09	40
N20140422F97V5	14:34:06	-16:04:57	40
N20140422F98V5	14:34:04	-18:01:21	40
N20140422F99V5	14:40:48	-18:60:33	40
N20140422F100V5	14:40:46	-17:02:09	40
SLEW_QX_QY	14:40:46	-17:02:09	60
