imname	RA	DEC	EXPTIME
N20140422F41V1	14:08:13	-01:20:09	40
N20140422F42V1	14:08:13	-03:18:33	40
N20140422F43V1	14:14:37	-04:17:45	40
N20140422F44V1	14:14:36	-02:19:21	40
N20140422F41V2	14:08:13	-01:20:09	40
N20140422F42V2	14:08:13	-03:18:33	40
N20140422F43V2	14:14:37	-04:17:45	40
N20140422F44V2	14:14:36	-02:19:21	40
N20140422F41V3	14:08:13	-01:20:09	40
N20140422F42V3	14:08:13	-03:18:33	40
N20140422F43V3	14:14:37	-04:17:45	40
N20140422F44V3	14:14:36	-02:19:21	40
N20140422F41V4	14:08:13	-01:20:09	40
N20140422F42V4	14:08:13	-03:18:33	40
N20140422F43V4	14:14:37	-04:17:45	40
N20140422F44V4	14:14:36	-02:19:21	40
N20140422F41V5	14:08:13	-01:20:09	40
N20140422F42V5	14:08:13	-03:18:33	40
N20140422F43V5	14:14:37	-04:17:45	40
N20140422F44V5	14:14:36	-02:19:21	40
SLEW_QX_QY	14:14:36	-02:19:21	60
