imname	RA	DEC	EXPTIME
N20140422F25V1	13:55:57	-05:01:21	40
N20140422F26V1	13:55:56	-06:59:45	40
N20140422F27V1	14:02:22	-07:58:57	40
N20140422F28V1	14:02:21	-05:60:33	40
N20140422F25V2	13:55:57	-05:01:21	40
N20140422F26V2	13:55:56	-06:59:45	40
N20140422F27V2	14:02:22	-07:58:57	40
N20140422F28V2	14:02:21	-05:60:33	40
N20140422F25V3	13:55:57	-05:01:21	40
N20140422F26V3	13:55:56	-06:59:45	40
N20140422F27V3	14:02:22	-07:58:57	40
N20140422F28V3	14:02:21	-05:60:33	40
N20140422F25V4	13:55:57	-05:01:21	40
N20140422F26V4	13:55:56	-06:59:45	40
N20140422F27V4	14:02:22	-07:58:57	40
N20140422F28V4	14:02:21	-05:60:33	40
N20140422F25V5	13:55:57	-05:01:21	40
N20140422F26V5	13:55:56	-06:59:45	40
N20140422F27V5	14:02:22	-07:58:57	40
N20140422F28V5	14:02:21	-05:60:33	40
SLEW_QX_QY	14:02:21	-05:60:33	60
