imname	RA	DEC	EXPTIME
N20140422F93V1	14:33:33	-12:23:45	40
N20140422F94V1	14:33:32	-14:20:09	40
N20140422F95V1	14:40:08	-15:19:21	40
N20140422F96V1	14:40:06	-13:22:57	40
N20140422F93V2	14:33:33	-12:23:45	40
N20140422F94V2	14:33:32	-14:20:09	40
N20140422F95V2	14:40:08	-15:19:21	40
N20140422F96V2	14:40:06	-13:22:57	40
N20140422F93V3	14:33:33	-12:23:45	40
N20140422F94V3	14:33:32	-14:20:09	40
N20140422F95V3	14:40:08	-15:19:21	40
N20140422F96V3	14:40:06	-13:22:57	40
N20140422F93V4	14:33:33	-12:23:45	40
N20140422F94V4	14:33:32	-14:20:09	40
N20140422F95V4	14:40:08	-15:19:21	40
N20140422F96V4	14:40:06	-13:22:57	40
N20140422F93V5	14:33:33	-12:23:45	40
N20140422F94V5	14:33:32	-14:20:09	40
N20140422F95V5	14:40:08	-15:19:21	40
N20140422F96V5	14:40:06	-13:22:57	40
SLEW_QX_QY	14:40:06	-13:22:57	60
