imname	RA	DEC	EXPTIME
N20140422Q15F57V1	13:48:03	-22:36:37	40
N20140422Q15F58V1	13:48:00	-24:33:01	40
N20140422Q15F59V1	13:55:03	-25:32:13	40
N20140422Q15F60V1	13:54:59	-23:35:49	40
N20140422Q15F57V2	13:48:03	-22:36:37	40
N20140422Q15F58V2	13:48:00	-24:33:01	40
N20140422Q15F59V2	13:55:03	-25:32:13	40
N20140422Q15F60V2	13:54:59	-23:35:49	40
N20140422Q15F57V3	13:48:03	-22:36:37	40
N20140422Q15F58V3	13:48:00	-24:33:01	40
N20140422Q15F59V3	13:55:03	-25:32:13	40
N20140422Q15F60V3	13:54:59	-23:35:49	40
N20140422Q15F57V4	13:48:03	-22:36:37	40
N20140422Q15F58V4	13:48:00	-24:33:01	40
N20140422Q15F59V4	13:55:03	-25:32:13	40
N20140422Q15F60V4	13:54:59	-23:35:49	40
N20140422Q15F57V5	13:48:03	-22:36:37	40
N20140422Q15F58V5	13:48:00	-24:33:01	40
N20140422Q15F59V5	13:55:03	-25:32:13	40
N20140422Q15F60V5	13:54:59	-23:35:49	40
SLEW_QX_QY	13:54:59	-23:35:49	60
