imname	RA	DEC	EXPTIME
N20140422F85V1	14:32:52	-05:01:21	40
N20140422F86V1	14:32:51	-06:59:45	40
N20140422F87V1	14:39:18	-07:58:57	40
N20140422F88V1	14:39:17	-05:60:33	40
N20140422F85V2	14:32:52	-05:01:21	40
N20140422F86V2	14:32:51	-06:59:45	40
N20140422F87V2	14:39:18	-07:58:57	40
N20140422F88V2	14:39:17	-05:60:33	40
N20140422F85V3	14:32:52	-05:01:21	40
N20140422F86V3	14:32:51	-06:59:45	40
N20140422F87V3	14:39:18	-07:58:57	40
N20140422F88V3	14:39:17	-05:60:33	40
N20140422F85V4	14:32:52	-05:01:21	40
N20140422F86V4	14:32:51	-06:59:45	40
N20140422F87V4	14:39:18	-07:58:57	40
N20140422F88V4	14:39:17	-05:60:33	40
N20140422F85V5	14:32:52	-05:01:21	40
N20140422F86V5	14:32:51	-06:59:45	40
N20140422F87V5	14:39:18	-07:58:57	40
N20140422F88V5	14:39:17	-05:60:33	40
SLEW_QX_QY	14:39:17	-05:60:33	60
