imname	RA	DEC	EXPTIME
N20140422F89V1	14:33:08	-08:42:33	40
N20140422F90V1	14:33:07	-10:40:57	40
N20140422F91V1	14:39:38	-11:38:09	40
N20140422F92V1	14:39:36	-09:41:45	40
N20140422F89V2	14:33:08	-08:42:33	40
N20140422F90V2	14:33:07	-10:40:57	40
N20140422F91V2	14:39:38	-11:38:09	40
N20140422F92V2	14:39:36	-09:41:45	40
N20140422F89V3	14:33:08	-08:42:33	40
N20140422F90V3	14:33:07	-10:40:57	40
N20140422F91V3	14:39:38	-11:38:09	40
N20140422F92V3	14:39:36	-09:41:45	40
N20140422F89V4	14:33:08	-08:42:33	40
N20140422F90V4	14:33:07	-10:40:57	40
N20140422F91V4	14:39:38	-11:38:09	40
N20140422F92V4	14:39:36	-09:41:45	40
N20140422F89V5	14:33:08	-08:42:33	40
N20140422F90V5	14:33:07	-10:40:57	40
N20140422F91V5	14:39:38	-11:38:09	40
N20140422F92V5	14:39:36	-09:41:45	40
SLEW_QX_QY	14:39:36	-09:41:45	60
