imname	RA	DEC	EXPTIME
S04F1V1	13:39:15	-37:04:23	40
S04F4V1	13:39:09	-39:02:48	40
S04F3V1	13:47:25	-40:00:00	40
S04F2V1	13:47:18	-38:03:36	40
S04F1V2	13:39:15	-37:04:23	40
S04F4V2	13:39:09	-39:02:48	40
S04F3V2	13:47:25	-40:00:00	40
S04F2V2	13:47:18	-38:03:36	40
S04F1V3	13:39:15	-37:04:23	40
S04F4V3	13:39:09	-39:02:48	40
S04F3V3	13:47:25	-40:00:00	40
S04F2V3	13:47:18	-38:03:36	40
S04F1V4	13:39:15	-37:04:23	40
S04F4V4	13:39:09	-39:02:48	40
S04F3V4	13:47:25	-40:00:00	40
S04F2V4	13:47:18	-38:03:36	40
S04F1V5	13:39:15	-37:04:23	40
S04F4V5	13:39:09	-39:02:48	40
S04F3V5	13:47:25	-40:00:00	40
S04F2V5	13:47:18	-38:03:36	40
SLEW_QX_QY	13:47:18	-38:03:36	60
