imname	RA	DEC	EXPTIME
S08F1V1	13:19:12	-52:45:35	40
S08F4V1	13:18:57	-54:42:00	40
S08F3V1	13:30:08	-55:41:12	40
S08F2V1	13:29:52	-53:44:48	40
S08F1V2	13:19:12	-52:45:35	40
S08F4V2	13:18:57	-54:42:00	40
S08F3V2	13:30:08	-55:41:12	40
S08F2V2	13:29:52	-53:44:48	40
S08F1V3	13:19:12	-52:45:35	40
S08F4V3	13:18:57	-54:42:00	40
S08F3V3	13:30:08	-55:41:12	40
S08F2V3	13:29:52	-53:44:48	40
S08F1V4	13:19:12	-52:45:35	40
S08F4V4	13:18:57	-54:42:00	40
S08F3V4	13:30:08	-55:41:12	40
S08F2V4	13:29:52	-53:44:48	40
S08F1V5	13:19:12	-52:45:35	40
S08F4V5	13:18:57	-54:42:00	40
S08F3V5	13:30:08	-55:41:12	40
S08F2V5	13:29:52	-53:44:48	40
SLEW_QX_QY	13:29:52	-53:44:48	60
