imname	RA	DEC	EXPTIME
S49F1V1	15:12:04	-25:19:59	40
S49F4V1	15:12:00	-27:16:23	40
S49F3V1	15:19:13	-28:15:35	40
S49F2V1	15:19:09	-26:17:11	40
S49F1V2	15:12:04	-25:19:59	40
S49F4V2	15:12:00	-27:16:23	40
S49F3V2	15:19:13	-28:15:35	40
S49F2V2	15:19:09	-26:17:11	40
S49F1V3	15:12:04	-25:19:59	40
S49F4V3	15:12:00	-27:16:23	40
S49F3V3	15:19:13	-28:15:35	40
S49F2V3	15:19:09	-26:17:11	40
S49F1V4	15:12:04	-25:19:59	40
S49F4V4	15:12:00	-27:16:23	40
S49F3V4	15:19:13	-28:15:35	40
S49F2V4	15:19:09	-26:17:11	40
S49F1V5	15:12:04	-25:19:59	40
S49F4V5	15:12:00	-27:16:23	40
S49F3V5	15:19:13	-28:15:35	40
S49F2V5	15:19:09	-26:17:11	40
SLEW_QX_QY	15:19:09	-26:17:11	60
