imname	RA	DEC	EXPTIME
S03F1V1	13:42:12	-33:09:35	40
S03F4V1	13:42:07	-35:06:00	40
S03F3V1	13:49:58	-36:05:12	40
S03F2V1	13:49:52	-34:08:48	40
S03F1V2	13:42:12	-33:09:35	40
S03F4V2	13:42:07	-35:06:00	40
S03F3V2	13:49:58	-36:05:12	40
S03F2V2	13:49:52	-34:08:48	40
S03F1V3	13:42:12	-33:09:35	40
S03F4V3	13:42:07	-35:06:00	40
S03F3V3	13:49:58	-36:05:12	40
S03F2V3	13:49:52	-34:08:48	40
S03F1V4	13:42:12	-33:09:35	40
S03F4V4	13:42:07	-35:06:00	40
S03F3V4	13:49:58	-36:05:12	40
S03F2V4	13:49:52	-34:08:48	40
S03F1V5	13:42:12	-33:09:35	40
S03F4V5	13:42:07	-35:06:00	40
S03F3V5	13:49:58	-36:05:12	40
S03F2V5	13:49:52	-34:08:48	40
SLEW_QX_QY	13:49:52	-34:08:48	60
