imname	RA	DEC	EXPTIME
S54F1V1	15:21:20	-44:55:59	40
S54F4V1	15:21:10	-46:52:24	40
S54F3V1	15:30:36	-47:51:35	40
S54F2V1	15:30:26	-45:53:11	40
S54F1V2	15:21:20	-44:55:59	40
S54F4V2	15:21:10	-46:52:24	40
S54F3V2	15:30:36	-47:51:35	40
S54F2V2	15:30:26	-45:53:11	40
S54F1V3	15:21:20	-44:55:59	40
S54F4V3	15:21:10	-46:52:24	40
S54F3V3	15:30:36	-47:51:35	40
S54F2V3	15:30:26	-45:53:11	40
S54F1V4	15:21:20	-44:55:59	40
S54F4V4	15:21:10	-46:52:24	40
S54F3V4	15:30:36	-47:51:35	40
S54F2V4	15:30:26	-45:53:11	40
S54F1V5	15:21:20	-44:55:59	40
S54F4V5	15:21:10	-46:52:24	40
S54F3V5	15:30:36	-47:51:35	40
S54F2V5	15:30:26	-45:53:11	40
SLEW_QX_QY	15:30:26	-45:53:11	60
