imname	RA	DEC	EXPTIME
S59F1V1	15:30:10	-33:09:35	40
S59F4V1	15:30:04	-35:06:00	40
S59F3V1	15:37:55	-36:05:12	40
S59F2V1	15:37:50	-34:08:48	40
S59F1V2	15:30:10	-33:09:35	40
S59F4V2	15:30:04	-35:06:00	40
S59F3V2	15:37:55	-36:05:12	40
S59F2V2	15:37:50	-34:08:48	40
S59F1V3	15:30:10	-33:09:35	40
S59F4V3	15:30:04	-35:06:00	40
S59F3V3	15:37:55	-36:05:12	40
S59F2V3	15:37:50	-34:08:48	40
S59F1V4	15:30:10	-33:09:35	40
S59F4V4	15:30:04	-35:06:00	40
S59F3V4	15:37:55	-36:05:12	40
S59F2V4	15:37:50	-34:08:48	40
S59F1V5	15:30:10	-33:09:35	40
S59F4V5	15:30:04	-35:06:00	40
S59F3V5	15:37:55	-36:05:12	40
S59F2V5	15:37:50	-34:08:48	40
SLEW_QX_QY	15:37:50	-34:08:48	60
