imname	RA	DEC	EXPTIME
S63F1V1	15:44:23	-48:50:47	40
S63F4V1	15:44:11	-50:47:12	40
S63F3V1	15:54:23	-51:46:24	40
S63F2V1	15:54:10	-49:48:00	40
S63F1V2	15:44:23	-48:50:47	40
S63F4V2	15:44:11	-50:47:12	40
S63F3V2	15:54:23	-51:46:24	40
S63F2V2	15:54:10	-49:48:00	40
S63F1V3	15:44:23	-48:50:47	40
S63F4V3	15:44:11	-50:47:12	40
S63F3V3	15:54:23	-51:46:24	40
S63F2V3	15:54:10	-49:48:00	40
S63F1V4	15:44:23	-48:50:47	40
S63F4V4	15:44:11	-50:47:12	40
S63F3V4	15:54:23	-51:46:24	40
S63F2V4	15:54:10	-49:48:00	40
S63F1V5	15:44:23	-48:50:47	40
S63F4V5	15:44:11	-50:47:12	40
S63F3V5	15:54:23	-51:46:24	40
S63F2V5	15:54:10	-49:48:00	40
SLEW_QX_QY	15:54:10	-49:48:00	60
