imname	RA	DEC	EXPTIME
S22F1V1	14:07:58	-44:55:59	40
S22F4V1	14:07:49	-46:52:24	40
S22F3V1	14:17:14	-47:51:35	40
S22F2V1	14:17:04	-45:53:11	40
S22F1V2	14:07:58	-44:55:59	40
S22F4V2	14:07:49	-46:52:24	40
S22F3V2	14:17:14	-47:51:35	40
S22F2V2	14:17:04	-45:53:11	40
S22F1V3	14:07:58	-44:55:59	40
S22F4V3	14:07:49	-46:52:24	40
S22F3V3	14:17:14	-47:51:35	40
S22F2V3	14:17:04	-45:53:11	40
S22F1V4	14:07:58	-44:55:59	40
S22F4V4	14:07:49	-46:52:24	40
S22F3V4	14:17:14	-47:51:35	40
S22F2V4	14:17:04	-45:53:11	40
S22F1V5	14:07:58	-44:55:59	40
S22F4V5	14:07:49	-46:52:24	40
S22F3V5	14:17:14	-47:51:35	40
S22F2V5	14:17:04	-45:53:11	40
SLEW_QX_QY	14:17:04	-45:53:11	60
