imname	RA	DEC	EXPTIME
S60F1V1	15:32:44	-37:04:23	40
S60F4V1	15:32:37	-39:02:48	40
S60F3V1	15:40:54	-40:00:00	40
S60F2V1	15:40:47	-38:03:36	40
S60F1V2	15:32:44	-37:04:23	40
S60F4V2	15:32:37	-39:02:48	40
S60F3V2	15:40:54	-40:00:00	40
S60F2V2	15:40:47	-38:03:36	40
S60F1V3	15:32:44	-37:04:23	40
S60F4V3	15:32:37	-39:02:48	40
S60F3V3	15:40:54	-40:00:00	40
S60F2V3	15:40:47	-38:03:36	40
S60F1V4	15:32:44	-37:04:23	40
S60F4V4	15:32:37	-39:02:48	40
S60F3V4	15:40:54	-40:00:00	40
S60F2V4	15:40:47	-38:03:36	40
S60F1V5	15:32:44	-37:04:23	40
S60F4V5	15:32:37	-39:02:48	40
S60F3V5	15:40:54	-40:00:00	40
S60F2V5	15:40:47	-38:03:36	40
SLEW_QX_QY	15:40:47	-38:03:36	60
