imname	RA	DEC	EXPTIME
S01F1V1	13:46:37	-25:19:59	40
S01F4V1	13:46:34	-27:16:23	40
S01F3V1	13:53:47	-28:15:35	40
S01F2V1	13:53:43	-26:17:11	40
S01F1V2	13:46:37	-25:19:59	40
S01F4V2	13:46:34	-27:16:23	40
S01F3V2	13:53:47	-28:15:35	40
S01F2V2	13:53:43	-26:17:11	40
S01F1V3	13:46:37	-25:19:59	40
S01F4V3	13:46:34	-27:16:23	40
S01F3V3	13:53:47	-28:15:35	40
S01F2V3	13:53:43	-26:17:11	40
S01F1V4	13:46:37	-25:19:59	40
S01F4V4	13:46:34	-27:16:23	40
S01F3V4	13:53:47	-28:15:35	40
S01F2V4	13:53:43	-26:17:11	40
S01F1V5	13:46:37	-25:19:59	40
S01F4V5	13:46:34	-27:16:23	40
S01F3V5	13:53:47	-28:15:35	40
S01F2V5	13:53:43	-26:17:11	40
SLEW_QX_QY	13:53:43	-26:17:11	60
