imname	RA	DEC	EXPTIME
Q01F1V1	22:23:28	-03:36:47	40
Q01F4V1	22:23:28	-05:33:11	40
Q01F3V1	22:29:53	-06:32:23	40
Q01F2V1	22:29:52	-04:35:59	40
Q01F1V2	22:23:28	-03:36:47	40
Q01F4V2	22:23:28	-05:33:11	40
Q01F3V2	22:29:53	-06:32:23	40
Q01F2V2	22:29:52	-04:35:59	40
Q01F1V3	22:23:28	-03:36:47	40
Q01F4V3	22:23:28	-05:33:11	40
Q01F3V3	22:29:53	-06:32:23	40
Q01F2V3	22:29:52	-04:35:59	40
Q01F1V4	22:23:28	-03:36:47	40
Q01F4V4	22:23:28	-05:33:11	40
Q01F3V4	22:29:53	-06:32:23	40
Q01F2V4	22:29:52	-04:35:59	40
Q01F1V5	22:23:28	-03:36:47	40
Q01F4V5	22:23:28	-05:33:11	40
Q01F3V5	22:29:53	-06:32:23	40
Q01F2V5	22:29:52	-04:35:59	40
SLEW_QX_QY	22:29:52	-04:35:59	60
