imname	RA	DEC	EXPTIME
Q08F1V1	22:49:10	-07:31:35	40
Q08F4V1	22:49:09	-09:29:59	40
Q08F3V1	22:55:38	-10:27:11	40
Q08F2V1	22:55:37	-08:30:47	40
Q08F1V2	22:49:10	-07:31:35	40
Q08F4V2	22:49:09	-09:29:59	40
Q08F3V2	22:55:38	-10:27:11	40
Q08F2V2	22:55:37	-08:30:47	40
Q08F1V3	22:49:10	-07:31:35	40
Q08F4V3	22:49:09	-09:29:59	40
Q08F3V3	22:55:38	-10:27:11	40
Q08F2V3	22:55:37	-08:30:47	40
Q08F1V4	22:49:10	-07:31:35	40
Q08F4V4	22:49:09	-09:29:59	40
Q08F3V4	22:55:38	-10:27:11	40
Q08F2V4	22:55:37	-08:30:47	40
Q08F1V5	22:49:10	-07:31:35	40
Q08F4V5	22:49:09	-09:29:59	40
Q08F3V5	22:55:38	-10:27:11	40
Q08F2V5	22:55:37	-08:30:47	40
SLEW_QX_QY	22:55:37	-08:30:47	60
