imname	RA	DEC	EXPTIME
Q01F1V1	22:05:03	-05:23:18	40
Q01F4V1	22:05:02	-07:21:42	40
Q01F3V1	22:11:29	-08:20:54	40
Q01F2V1	22:11:28	-06:22:30	40
Q01F1V2	22:05:03	-05:23:18	40
Q01F4V2	22:05:02	-07:21:42	40
Q01F3V2	22:11:29	-08:20:54	40
Q01F2V2	22:11:28	-06:22:30	40
Q01F1V3	22:05:03	-05:23:18	40
Q01F4V3	22:05:02	-07:21:42	40
Q01F3V3	22:11:29	-08:20:54	40
Q01F2V3	22:11:28	-06:22:30	40
Q01F1V4	22:05:03	-05:23:18	40
Q01F4V4	22:05:02	-07:21:42	40
Q01F3V4	22:11:29	-08:20:54	40
Q01F2V4	22:11:28	-06:22:30	40
Q01F1V5	22:05:03	-05:23:18	40
Q01F4V5	22:05:02	-07:21:42	40
Q01F3V5	22:11:29	-08:20:54	40
Q01F2V5	22:11:28	-06:22:30	40
SLEW_QX_QY	22:11:28	-06:22:30	60
