imname	RA	DEC	EXPTIME
Q07F1V1	22:30:45	-05:23:18	40
Q07F4V1	22:30:44	-07:21:42	40
Q07F3V1	22:37:10	-08:20:54	40
Q07F2V1	22:37:10	-06:22:30	40
Q07F1V2	22:30:45	-05:23:18	40
Q07F4V2	22:30:44	-07:21:42	40
Q07F3V2	22:37:10	-08:20:54	40
Q07F2V2	22:37:10	-06:22:30	40
Q07F1V3	22:30:45	-05:23:18	40
Q07F4V3	22:30:44	-07:21:42	40
Q07F3V3	22:37:10	-08:20:54	40
Q07F2V3	22:37:10	-06:22:30	40
Q07F1V4	22:30:45	-05:23:18	40
Q07F4V4	22:30:44	-07:21:42	40
Q07F3V4	22:37:10	-08:20:54	40
Q07F2V4	22:37:10	-06:22:30	40
Q07F1V5	22:30:45	-05:23:18	40
Q07F4V5	22:30:44	-07:21:42	40
Q07F3V5	22:37:10	-08:20:54	40
Q07F2V5	22:37:10	-06:22:30	40
SLEW_QX_QY	22:37:10	-06:22:30	60
