imname	RA	DEC	EXPTIME
Q05F1V1	22:43:34	-06:47:29	40
Q05F4V1	22:43:33	-08:45:54	40
Q05F3V1	22:50:01	-09:43:06	40
Q05F2V1	22:50:00	-07:46:42	40
Q05F1V2	22:43:34	-06:47:29	40
Q05F4V2	22:43:33	-08:45:54	40
Q05F3V2	22:50:01	-09:43:06	40
Q05F2V2	22:50:00	-07:46:42	40
Q05F1V3	22:43:34	-06:47:29	40
Q05F4V3	22:43:33	-08:45:54	40
Q05F3V3	22:50:01	-09:43:06	40
Q05F2V3	22:50:00	-07:46:42	40
Q05F1V4	22:43:34	-06:47:29	40
Q05F4V4	22:43:33	-08:45:54	40
Q05F3V4	22:50:01	-09:43:06	40
Q05F2V4	22:50:00	-07:46:42	40
Q05F1V5	22:43:34	-06:47:29	40
Q05F4V5	22:43:33	-08:45:54	40
Q05F3V5	22:50:01	-09:43:06	40
Q05F2V5	22:50:00	-07:46:42	40
SLEW_QX_QY	22:50:00	-07:46:42	60
