imname	RA	DEC	EXPTIME
Q02F1V1	22:30:40	-06:47:29	40
Q02F4V1	22:30:40	-08:45:54	40
Q02F3V1	22:37:08	-09:43:06	40
Q02F2V1	22:37:07	-07:46:42	40
Q02F1V2	22:30:40	-06:47:29	40
Q02F4V2	22:30:40	-08:45:54	40
Q02F3V2	22:37:08	-09:43:06	40
Q02F2V2	22:37:07	-07:46:42	40
Q02F1V3	22:30:40	-06:47:29	40
Q02F4V3	22:30:40	-08:45:54	40
Q02F3V3	22:37:08	-09:43:06	40
Q02F2V3	22:37:07	-07:46:42	40
Q02F1V4	22:30:40	-06:47:29	40
Q02F4V4	22:30:40	-08:45:54	40
Q02F3V4	22:37:08	-09:43:06	40
Q02F2V4	22:37:07	-07:46:42	40
Q02F1V5	22:30:40	-06:47:29	40
Q02F4V5	22:30:40	-08:45:54	40
Q02F3V5	22:37:08	-09:43:06	40
Q02F2V5	22:37:07	-07:46:42	40
SLEW_QX_QY	22:37:07	-07:46:42	60
