imname	RA	DEC	EXPTIME
Q5F1V1	22:07:48	-03:47:4	40
Q5F4V1	22:07:48	-05:44:1	40
Q5F3V1	22:14:13	-06:43:2	40
Q5F2V1	22:14:12	-04:45:0	40
Q5F1V2	22:07:48	-03:47:4	40
Q5F4V2	22:07:48	-05:44:1	40
Q5F3V2	22:14:13	-06:43:2	40
Q5F2V2	22:14:12	-04:45:0	40
Q5F1V3	22:07:48	-03:47:4	40
Q5F4V3	22:07:48	-05:44:1	40
Q5F3V3	22:14:13	-06:43:2	40
Q5F2V3	22:14:12	-04:45:0	40
Q5F1V4	22:07:48	-03:47:4	40
Q5F4V4	22:07:48	-05:44:1	40
Q5F3V4	22:14:13	-06:43:2	40
Q5F2V4	22:14:12	-04:45:0	40
Q5F1V5	22:07:48	-03:47:4	40
Q5F4V5	22:07:48	-05:44:1	40
Q5F3V5	22:14:13	-06:43:2	40
Q5F2V5	22:14:12	-04:45:0	40
SLEW_QX_QY	22:14:12	-04:45:0	60
