imname	RA	DEC	EXPTIME
Q4F1V1	21:54:07	-15:32:1	40
Q4F4V1	21:54:05	-17:30:3	40
Q4F3V1	22:00:48	-18:29:4	40
Q4F2V1	22:00:46	-16:31:2	40
Q4F1V2	21:54:07	-15:32:1	40
Q4F4V2	21:54:05	-17:30:3	40
Q4F3V2	22:00:48	-18:29:4	40
Q4F2V2	22:00:46	-16:31:2	40
Q4F1V3	21:54:07	-15:32:1	40
Q4F4V3	21:54:05	-17:30:3	40
Q4F3V3	22:00:48	-18:29:4	40
Q4F2V3	22:00:46	-16:31:2	40
Q4F1V4	21:54:07	-15:32:1	40
Q4F4V4	21:54:05	-17:30:3	40
Q4F3V4	22:00:48	-18:29:4	40
Q4F2V4	22:00:46	-16:31:2	40
Q4F1V5	21:54:07	-15:32:1	40
Q4F4V5	21:54:05	-17:30:3	40
Q4F3V5	22:00:48	-18:29:4	40
Q4F2V5	22:00:46	-16:31:2	40
SLEW_QX_QY	22:00:46	-16:31:2	60
