imname	RA	DEC	EXPTIME
Q3F1V1	21:54:32	-11:37:2	40
Q3F4V1	21:54:30	-13:35:4	40
Q3F3V1	22:01:05	-14:34:5	40
Q3F2V1	22:01:03	-12:36:3	40
Q3F1V2	21:54:32	-11:37:2	40
Q3F4V2	21:54:30	-13:35:4	40
Q3F3V2	22:01:05	-14:34:5	40
Q3F2V2	22:01:03	-12:36:3	40
Q3F1V3	21:54:32	-11:37:2	40
Q3F4V3	21:54:30	-13:35:4	40
Q3F3V3	22:01:05	-14:34:5	40
Q3F2V3	22:01:03	-12:36:3	40
Q3F1V4	21:54:32	-11:37:2	40
Q3F4V4	21:54:30	-13:35:4	40
Q3F3V4	22:01:05	-14:34:5	40
Q3F2V4	22:01:03	-12:36:3	40
Q3F1V5	21:54:32	-11:37:2	40
Q3F4V5	21:54:30	-13:35:4	40
Q3F3V5	22:01:05	-14:34:5	40
Q3F2V5	22:01:03	-12:36:3	40
SLEW_QX_QY	22:01:03	-12:36:3	60
