imname	RA	DEC	EXPTIME
Q2F1V1	21:54:49	-07:42:3	40
Q2F4V1	21:54:48	-09:40:5	40
Q2F3V1	22:01:17	-10:38:1	40
Q2F2V1	22:01:16	-08:41:4	40
Q2F1V2	21:54:49	-07:42:3	40
Q2F4V2	21:54:48	-09:40:5	40
Q2F3V2	22:01:17	-10:38:1	40
Q2F2V2	22:01:16	-08:41:4	40
Q2F1V3	21:54:49	-07:42:3	40
Q2F4V3	21:54:48	-09:40:5	40
Q2F3V3	22:01:17	-10:38:1	40
Q2F2V3	22:01:16	-08:41:4	40
Q2F1V4	21:54:49	-07:42:3	40
Q2F4V4	21:54:48	-09:40:5	40
Q2F3V4	22:01:17	-10:38:1	40
Q2F2V4	22:01:16	-08:41:4	40
Q2F1V5	21:54:49	-07:42:3	40
Q2F4V5	21:54:48	-09:40:5	40
Q2F3V5	22:01:17	-10:38:1	40
Q2F2V5	22:01:16	-08:41:4	40
SLEW_QX_QY	22:01:16	-08:41:4	60
