imname	RA	DEC	EXPTIME
Q7F1V1	22:07:37	-11:37:2	40
Q7F4V1	22:07:35	-13:35:4	40
Q7F3V1	22:14:10	-14:34:5	40
Q7F2V1	22:14:08	-12:36:3	40
Q7F1V2	22:07:37	-11:37:2	40
Q7F4V2	22:07:35	-13:35:4	40
Q7F3V2	22:14:10	-14:34:5	40
Q7F2V2	22:14:08	-12:36:3	40
Q7F1V3	22:07:37	-11:37:2	40
Q7F4V3	22:07:35	-13:35:4	40
Q7F3V3	22:14:10	-14:34:5	40
Q7F2V3	22:14:08	-12:36:3	40
Q7F1V4	22:07:37	-11:37:2	40
Q7F4V4	22:07:35	-13:35:4	40
Q7F3V4	22:14:10	-14:34:5	40
Q7F2V4	22:14:08	-12:36:3	40
Q7F1V5	22:07:37	-11:37:2	40
Q7F4V5	22:07:35	-13:35:4	40
Q7F3V5	22:14:10	-14:34:5	40
Q7F2V5	22:14:08	-12:36:3	40
SLEW_QX_QY	22:14:08	-12:36:3	60
