imname	RA	DEC	EXPTIME
Q13F1V1	22:33:26	-03:47:4	40
Q13F4V1	22:33:25	-05:44:1	40
Q13F3V1	22:39:50	-06:43:2	40
Q13F2V1	22:39:50	-04:45:0	40
Q13F1V2	22:33:26	-03:47:4	40
Q13F4V2	22:33:25	-05:44:1	40
Q13F3V2	22:39:50	-06:43:2	40
Q13F2V2	22:39:50	-04:45:0	40
Q13F1V3	22:33:26	-03:47:4	40
Q13F4V3	22:33:25	-05:44:1	40
Q13F3V3	22:39:50	-06:43:2	40
Q13F2V3	22:39:50	-04:45:0	40
Q13F1V4	22:33:26	-03:47:4	40
Q13F4V4	22:33:25	-05:44:1	40
Q13F3V4	22:39:50	-06:43:2	40
Q13F2V4	22:39:50	-04:45:0	40
Q13F1V5	22:33:26	-03:47:4	40
Q13F4V5	22:33:25	-05:44:1	40
Q13F3V5	22:39:50	-06:43:2	40
Q13F2V5	22:39:50	-04:45:0	40
SLEW_QX_QY	22:39:50	-04:45:0	60
