imname	RA	DEC	EXPTIME
Q16F1V1	22:34:04	-15:32:1	40
Q16F4V1	22:34:02	-17:30:3	40
Q16F3V1	22:40:45	-18:29:4	40
Q16F2V1	22:40:43	-16:31:2	40
Q16F1V2	22:34:04	-15:32:1	40
Q16F4V2	22:34:02	-17:30:3	40
Q16F3V2	22:40:45	-18:29:4	40
Q16F2V2	22:40:43	-16:31:2	40
Q16F1V3	22:34:04	-15:32:1	40
Q16F4V3	22:34:02	-17:30:3	40
Q16F3V3	22:40:45	-18:29:4	40
Q16F2V3	22:40:43	-16:31:2	40
Q16F1V4	22:34:04	-15:32:1	40
Q16F4V4	22:34:02	-17:30:3	40
Q16F3V4	22:40:45	-18:29:4	40
Q16F2V4	22:40:43	-16:31:2	40
Q16F1V5	22:34:04	-15:32:1	40
Q16F4V5	22:34:02	-17:30:3	40
Q16F3V5	22:40:45	-18:29:4	40
Q16F2V5	22:40:43	-16:31:2	40
SLEW_QX_QY	22:40:43	-16:31:2	60
