imname	RA	DEC	EXPTIME
Q9F1V1	22:20:37	-03:47:4	40
Q9F4V1	22:20:36	-05:44:1	40
Q9F3V1	22:27:02	-06:43:2	40
Q9F2V1	22:27:01	-04:45:0	40
Q9F1V2	22:20:37	-03:47:4	40
Q9F4V2	22:20:36	-05:44:1	40
Q9F3V2	22:27:02	-06:43:2	40
Q9F2V2	22:27:01	-04:45:0	40
Q9F1V3	22:20:37	-03:47:4	40
Q9F4V3	22:20:36	-05:44:1	40
Q9F3V3	22:27:02	-06:43:2	40
Q9F2V3	22:27:01	-04:45:0	40
Q9F1V4	22:20:37	-03:47:4	40
Q9F4V4	22:20:36	-05:44:1	40
Q9F3V4	22:27:02	-06:43:2	40
Q9F2V4	22:27:01	-04:45:0	40
Q9F1V5	22:20:37	-03:47:4	40
Q9F4V5	22:20:36	-05:44:1	40
Q9F3V5	22:27:02	-06:43:2	40
Q9F2V5	22:27:01	-04:45:0	40
SLEW_QX_QY	22:27:01	-04:45:0	60
