imname	RA	DEC	EXPTIME
Q10F1V1	22:20:39	-07:42:3	40
Q10F4V1	22:20:38	-09:40:5	40
Q10F3V1	22:27:07	-10:38:1	40
Q10F2V1	22:27:06	-08:41:4	40
Q10F1V2	22:20:39	-07:42:3	40
Q10F4V2	22:20:38	-09:40:5	40
Q10F3V2	22:27:07	-10:38:1	40
Q10F2V2	22:27:06	-08:41:4	40
Q10F1V3	22:20:39	-07:42:3	40
Q10F4V3	22:20:38	-09:40:5	40
Q10F3V3	22:27:07	-10:38:1	40
Q10F2V3	22:27:06	-08:41:4	40
Q10F1V4	22:20:39	-07:42:3	40
Q10F4V4	22:20:38	-09:40:5	40
Q10F3V4	22:27:07	-10:38:1	40
Q10F2V4	22:27:06	-08:41:4	40
Q10F1V5	22:20:39	-07:42:3	40
Q10F4V5	22:20:38	-09:40:5	40
Q10F3V5	22:27:07	-10:38:1	40
Q10F2V5	22:27:06	-08:41:4	40
SLEW_QX_QY	22:27:06	-08:41:4	60
