imname	RA	DEC	EXPTIME
Q06F1V1	22:32:34	-11:48:36	40
Q06F4V1	22:32:32	-13:45:00	40
Q06F3V1	22:39:08	-14:44:11	40
Q06F2V1	22:39:06	-12:47:48	40
Q06F1V2	22:32:34	-11:48:36	40
Q06F4V2	22:32:32	-13:45:00	40
Q06F3V2	22:39:08	-14:44:11	40
Q06F2V2	22:39:06	-12:47:48	40
Q06F1V3	22:32:34	-11:48:36	40
Q06F4V3	22:32:32	-13:45:00	40
Q06F3V3	22:39:08	-14:44:11	40
Q06F2V3	22:39:06	-12:47:48	40
Q06F1V4	22:32:34	-11:48:36	40
Q06F4V4	22:32:32	-13:45:00	40
Q06F3V4	22:39:08	-14:44:11	40
Q06F2V4	22:39:06	-12:47:48	40
Q06F1V5	22:32:34	-11:48:36	40
Q06F4V5	22:32:32	-13:45:00	40
Q06F3V5	22:39:08	-14:44:11	40
Q06F2V5	22:39:06	-12:47:48	40
SLEW_QX_QY	22:39:06	-12:47:48	60
