imname	RA	DEC	EXPTIME
Q07F1V1	23:03:38	-02:08:59	40
Q07F4V1	23:03:38	-04:05:23	40
Q07F3V1	23:10:02	-05:04:35	40
Q07F2V1	23:10:02	-03:06:11	40
Q07F1V2	23:03:38	-02:08:59	40
Q07F4V2	23:03:38	-04:05:23	40
Q07F3V2	23:10:02	-05:04:35	40
Q07F2V2	23:10:02	-03:06:11	40
Q07F1V3	23:03:38	-02:08:59	40
Q07F4V3	23:03:38	-04:05:23	40
Q07F3V3	23:10:02	-05:04:35	40
Q07F2V3	23:10:02	-03:06:11	40
Q07F1V4	23:03:38	-02:08:59	40
Q07F4V4	23:03:38	-04:05:23	40
Q07F3V4	23:10:02	-05:04:35	40
Q07F2V4	23:10:02	-03:06:11	40
Q07F1V5	23:03:38	-02:08:59	40
Q07F4V5	23:03:38	-04:05:23	40
Q07F3V5	23:10:02	-05:04:35	40
Q07F2V5	23:10:02	-03:06:11	40
SLEW_QX_QY	23:10:02	-03:06:11	60
