imname	RA	DEC	EXPTIME
Q09F1V1	22:34:40	-12:52:05	40
Q09F4V1	22:34:38	-14:50:29	40
Q09F3V1	22:41:16	-15:49:42	40
Q09F2V1	22:41:14	-13:51:17	40
Q09F1V2	22:34:40	-12:52:05	40
Q09F4V2	22:34:38	-14:50:29	40
Q09F3V2	22:41:16	-15:49:42	40
Q09F2V2	22:41:14	-13:51:17	40
Q09F1V3	22:34:40	-12:52:05	40
Q09F4V3	22:34:38	-14:50:29	40
Q09F3V3	22:41:16	-15:49:42	40
Q09F2V3	22:41:14	-13:51:17	40
Q09F1V4	22:34:40	-12:52:05	40
Q09F4V4	22:34:38	-14:50:29	40
Q09F3V4	22:41:16	-15:49:42	40
Q09F2V4	22:41:14	-13:51:17	40
Q09F1V5	22:34:40	-12:52:05	40
Q09F4V5	22:34:38	-14:50:29	40
Q09F3V5	22:41:16	-15:49:42	40
Q09F2V5	22:41:14	-13:51:17	40
SLEW_QX_QY	22:41:14	-13:51:17	60
