imname	RA	DEC	EXPTIME
Q01F1V1	22:08:45	-05:02:29	40
Q01F4V1	22:08:44	-06:60:54	40
Q01F3V1	22:15:11	-07:58:06	40
Q01F2V1	22:15:10	-06:01:42	40
Q01F1V2	22:08:45	-05:02:29	40
Q01F4V2	22:08:44	-06:60:54	40
Q01F3V2	22:15:11	-07:58:06	40
Q01F2V2	22:15:10	-06:01:42	40
Q01F1V3	22:08:45	-05:02:29	40
Q01F4V3	22:08:44	-06:60:54	40
Q01F3V3	22:15:11	-07:58:06	40
Q01F2V3	22:15:10	-06:01:42	40
Q01F1V4	22:08:45	-05:02:29	40
Q01F4V4	22:08:44	-06:60:54	40
Q01F3V4	22:15:11	-07:58:06	40
Q01F2V4	22:15:10	-06:01:42	40
Q01F1V5	22:08:45	-05:02:29	40
Q01F4V5	22:08:44	-06:60:54	40
Q01F3V5	22:15:11	-07:58:06	40
Q01F2V5	22:15:10	-06:01:42	40
SLEW_QX_QY	22:15:10	-06:01:42	60
