imname	RA	DEC	EXPTIME
Q08F1V1	22:34:31	-08:57:17	40
Q08F4V1	22:34:30	-10:55:41	40
Q08F3V1	22:41:01	-11:54:53	40
Q08F2V1	22:41:00	-09:56:29	40
Q08F1V2	22:34:31	-08:57:17	40
Q08F4V2	22:34:30	-10:55:41	40
Q08F3V2	22:41:01	-11:54:53	40
Q08F2V2	22:41:00	-09:56:29	40
Q08F1V3	22:34:31	-08:57:17	40
Q08F4V3	22:34:30	-10:55:41	40
Q08F3V3	22:41:01	-11:54:53	40
Q08F2V3	22:41:00	-09:56:29	40
Q08F1V4	22:34:31	-08:57:17	40
Q08F4V4	22:34:30	-10:55:41	40
Q08F3V4	22:41:01	-11:54:53	40
Q08F2V4	22:41:00	-09:56:29	40
Q08F1V5	22:34:31	-08:57:17	40
Q08F4V5	22:34:30	-10:55:41	40
Q08F3V5	22:41:01	-11:54:53	40
Q08F2V5	22:41:00	-09:56:29	40
SLEW_QX_QY	22:41:00	-09:56:29	60
